Fault No.,Fault Name,Level,Car Type,D1,D2,D3,D4,D5,D6,D7,D8,D9,TD,C1
HADS-323,Converter Fault 7-2,2,Mp2,HA 114,CEN 040,,,,,,,,,
HADS-324,Converter Fault 8-1,2,Tc2,HA 115,CEN 040,,,,,,,,,
HADS-325,Converter Fault 8-2,2,Tc2,HA 116,CEN 040,,,,,,,,,
HADS-330,Converter Hidden Fault 1-1,3,Tc1,HA 117,CEN 040,,,,,,,,,
HADS-331,Converter Hidden Fault 1-2,3,Tc1,HA 118,CEN 040,,,,,,,,,
HADS-332,Converter Hidden Fault 2-1,3,Mp1,HA 119,CEN 040,,,,,,,,,
HADS-333,Converter Hidden Fault 2-2,3,Mp1,HA 120,CEN 040,,,,,,,,,
HADS-334,Converter Hidden Fault 3-1,3,MW1,HA 121,CEN 040,,,,,,,,,
HADS-335,Converter Hidden Fault 3-2,3,MW1,HA 122,CEN 040,,,,,,,,,
HADS-336,Converter Hidden Fault 4-1,3,HMp,HA 123,CEN 040,,,,,,,,,
HADS-337,Converter Hidden Fault 4-2,3,HMp,HA 124,CEN 040,,,,,,,,,
HADS-338,Converter Hidden Fault 5-1,3,HT,HA 125,CEN 040,,,,,,,,,
HADS-339,Converter Hidden Fault 5-2,3,HT,HA 126,CEN 040,,,,,,,,,
HADS-340,Converter Hidden Fault 6-1,3,MW2,HA 127,CEN 040,,,,,,,,,
HADS-341,Converter Hidden Fault 6-2,3,MW2,HA 128,CEN 040,,,,,,,,,
HADS-342,Converter Hidden Fault 7-1,3,Mp2,HA 129,CEN 040,,,,,,,,,
HADS-343,Converter Hidden Fault 7-2,3,Mp2,HA 130,CEN 040,,,,,,,,,
HADS-344,Converter Hidden Fault 8-1,3,Tc2,HA 131,CEN 040,,,,,,,,,
HADS-345,Converter Hidden Fault 8-2,3,Tc2,HA 132,CEN 040,,,,,,,,,
HADS-350,Numbering Sensor Fault 1-1,2,Tc1,HA 133,CEN 040,,,,,,,,,
HADS-351,Numbering Sensor Fault 1-2,2,Tc1,HA 134,CEN 040,,,,,,,,,
HADS-352,Numbering Sensor Fault 2-1,2,Mp1,HA 135,CEN 040,,,,,,,,,
HADS-353,Numbering Sensor Fault 2-2,2,Mp1,HA 136,CEN 040,,,,,,,,,
HADS-354,Numbering Sensor Fault 3-1,2,MW1,HA 137,CEN 040,,,,,,,,,
HADS-355,Numbering Sensor Fault 3-2,2,MW1,HA 138,CEN 040,,,,,,,,,
HADS-356,Numbering Sensor Fault 4-1,2,HMp,HA 139,CEN 040,,,,,,,,,
HADS-357,Numbering Sensor Fault 4-2,2,HMp,HA 140,CEN 040,,,,,,,,,
HADS-358,Numbering Sensor Fault 5-1,2,HT,HA 141,CEN 040,,,,,,,,,
HADS-359,Numbering Sensor Fault 5-2,2,HT,HA 142,CEN 040,,,,,,,,,
HADS-360,Numbering Sensor Fault 6-1,2,MW2,HA 143,CEN 040,,,,,,,,,
HADS-361,Numbering Sensor Fault 6-2,2,MW2,HA 144,CEN 040,,,,,,,,,
HADS-362,Numbering Sensor Fault 7-1,2,Mp2,HA 145,CEN 040,,,,,,,,,
HADS-363,Numbering Sensor Fault 7-2,2,Mp2,HA 146,CEN 040,,,,,,,,,
HADS-364,Numbering Sensor Fault 8-1,2,Tc2,HA 147,CEN 040,,,,,,,,,
HADS-365,Numbering Sensor Fault 8-2,2,Tc2,HA 148,CEN 040,,,,,,,,,
HADS-370,Numbering Sensor Hidden Fault 1-1,3,Tc1,HA 149,CEN 040,,,,,,,,,
HADS-371,Numbering Sensor Hidden Fault 1-2,3,Tc1,HA 150,CEN 040,,,,,,,,,
HADS-372,Numbering Sensor Hidden Fault 2-1,3,Mp1,HA 151,CEN 040,,,,,,,,,
HADS-373,Numbering Sensor Hidden Fault 2-2,3,Mp1,HA 152,CEN 040,,,,,,,,,
HADS-374,Numbering Sensor Hidden Fault 3-1,3,MW1,HA 153,CEN 040,,,,,,,,,
HADS-375,Numbering Sensor Hidden Fault 3-2,3,MW1,HA 154,CEN 040,,,,,,,,,
HADS-376,Numbering Sensor Hidden Fault 4-1,3,HMp,HA 155,CEN 040,,,,,,,,,
HADS-377,Numbering Sensor Hidden Fault 4-2,3,HMp,HA 156,CEN 040,,,,,,,,,
HADS-378,Numbering Sensor Hidden Fault 5-1,3,HT,HA 157,CEN 040,,,,,,,,,
HADS-379,Numbering Sensor Hidden Fault 5-2,3,HT,HA 158,CEN 040,,,,,,,,,
HADS-380,Numbering Sensor Hidden Fault 6-1,3,MW2,HA 159,CEN 040,,,,,,,,,
HADS-381,Numbering Sensor Hidden Fault 6-2,3,MW2,HA 160,CEN 040,,,,,,,,,
HADS-382,Numbering Sensor Hidden Fault 7-1,3,Mp2,HA 161,CEN 040,,,,,,,,,
HADS-383,Numbering Sensor Hidden Fault 7-2,3,Mp2,HA 162,CEN 040,,,,,,,,,
HADS-384,Numbering Sensor Hidden Fault 8-1,3,Tc2,HA 163,CEN 040,,,,,,,,,
HADS-385,Numbering Sensor Hidden Fault 8-2,3,Tc2,HA 164,CEN 040,,,,,,,,,
HADS-390,Sensor hidden fault sensor U1,3,Tc1,HA 165,CEN 040,,,,,,,,,
HADS-391,Sensor hidden fault sensor D1,3,Tc1,HA 166,CEN 040,,,,,,,,,
HADS-392,Sensor hidden fault sensor U2,3,Tc1,HA 167,CEN 040,,,,,,,,,
HADS-393,Sensor hidden fault sensor D2,3,Tc1,HA 168,CEN 040,,,,,,,,,
HADS-394,Sensor hidden fault sensor U3,3,Tc1,HA 169,CEN 040,,,,,,,,,
HADS-395,Sensor hidden fault sensor D3,3,Tc1,HA 170,CEN 040,,,,,,,,,
HADS-396,Sensor hidden fault sensor U4,3,Tc1,HA 171,CEN 040,,,,,,,,,
HADS-397,Sensor hidden fault sensor D4,3,Tc1,HA 172,CEN 040,,,,,,,,,
HADS-400,Sensor hidden fault sensor U1,3,Mp1,HA 173,CEN 040,,,,,,,,,
HADS-401,Sensor hidden fault sensor D1,3,Mp1,HA 174,CEN 040,,,,,,,,,
HADS-402,Sensor hidden fault sensor U2,3,Mp1,HA 175,CEN 040,,,,,,,,,
HADS-403,Sensor hidden fault sensor D2,3,Mp1,HA 176,CEN 040,,,,,,,,,
HADS-404,Sensor hidden fault sensor U3,3,Mp1,HA 177,CEN 040,,,,,,,,,
HADS-405,Sensor hidden fault sensor D3,3,Mp1,HA 178,CEN 040,,,,,,,,,
HADS-406,Sensor hidden fault sensor U4,3,Mp1,HA 179,CEN 040,,,,,,,,,
HADS-407,Sensor hidden fault sensor D4,3,Mp1,HA 180,CEN 040,,,,,,,,,
HADS-410,Sensor hidden fault sensor U1,3,MW1,HA 181,CEN 040,,,,,,,,,
HADS-411,Sensor hidden fault sensor D1,3,MW1,HA 182,CEN 040,,,,,,,,,
HADS-412,Sensor hidden fault sensor U2,3,MW1,HA 183,CEN 040,,,,,,,,,
HADS-413,Sensor hidden fault sensor D2,3,MW1,HA 184,CEN 040,,,,,,,,,
HADS-414,Sensor hidden fault sensor U3,3,MW1,HA 185,CEN 040,,,,,,,,,
HADS-415,Sensor hidden fault sensor D3,3,MW1,HA 186,CEN 040,,,,,,,,,
HADS-416,Sensor hidden fault sensor U4,3,MW1,HA 187,CEN 040,,,,,,,,,
HADS-417,Sensor hidden fault sensor D4,3,MW1,HA 188,CEN 040,,,,,,,,,
HADS-420,Sensor hidden fault sensor U1,3,HMp,HA 189,CEN 040,,,,,,,,,
HADS-421,Sensor hidden fault sensor D1,3,HMp,HA 190,CEN 040,,,,,,,,,
HADS-422,Sensor hidden fault sensor U2,3,HMp,HA 191,CEN 040,,,,,,,,,
HADS-423,Sensor hidden fault sensor D2,3,HMp,HA 192,CEN 040,,,,,,,,,
HADS-424,Sensor hidden fault sensor U3,3,HMp,HA 193,CEN 040,,,,,,,,,
HADS-425,Sensor hidden fault sensor D3,3,HMp,HA 194,CEN 040,,,,,,,,,
HADS-426,Sensor hidden fault sensor U4,3,HMp,HA 195,CEN 040,,,,,,,,,
HADS-427,Sensor hidden fault sensor D4,3,HMp,HA 196,CEN 040,,,,,,,,,
HADS-430,Sensor hidden fault sensor U1,3,HT,HA 197,CEN 040,,,,,,,,,
HADS-431,Sensor hidden fault sensor D1,3,HT,HA 198,CEN 040,,,,,,,,,
HADS-432,Sensor hidden fault sensor U2,3,HT,HA 199,CEN 040,,,,,,,,,
HADS-433,Sensor hidden fault sensor D2,3,HT,HA 200,CEN 040,,,,,,,,,
HADS-434,Sensor hidden fault sensor U3,3,HT,HA 201,CEN 040,,,,,,,,,
HADS-435,Sensor hidden fault sensor D3,3,HT,HA 202,CEN 040,,,,,,,,,
HADS-436,Sensor hidden fault sensor U4,3,HT,HA 203,CEN 040,,,,,,,,,
HADS-437,Sensor hidden fault sensor D4,3,HT,HA 204,CEN 040,,,,,,,,,
HADS-440,Sensor hidden fault sensor U1,3,MW2,HA 205,CEN 040,,,,,,,,,
HADS-441,Sensor hidden fault sensor D1,3,MW2,HA 206,CEN 040,,,,,,,,,
HADS-442,Sensor hidden fault sensor U2,3,MW2,HA 207,CEN 040,,,,,,,,,
HADS-443,Sensor hidden fault sensor D2,3,MW2,HA 208,CEN 040,,,,,,,,,
HADS-444,Sensor hidden fault sensor U3,3,MW2,HA 209,CEN 040,,,,,,,,,
HADS-445,Sensor hidden fault sensor D3,3,MW2,HA 210,CEN 040,,,,,,,,,
HADS-446,Sensor hidden fault sensor U4,3,MW2,HA 211,CEN 040,,,,,,,,,
HADS-447,Sensor hidden fault sensor D4,3,MW2,HA 212,CEN 040,,,,,,,,,
HADS-450,Sensor hidden fault sensor U1,3,Mp2,HA 213,CEN 040,,,,,,,,,
HADS-451,Sensor hidden fault sensor D1,3,Mp2,HA 214,CEN 040,,,,,,,,,
HADS-452,Sensor hidden fault sensor U2,3,Mp2,HA 215,CEN 040,,,,,,,,,
HADS-453,Sensor hidden fault sensor D2,3,Mp2,HA 216,CEN 040,,,,,,,,,
HADS-454,Sensor hidden fault sensor U3,3,Mp2,HA 217,CEN 040,,,,,,,,,
HADS-455,Sensor hidden fault sensor D3,3,Mp2,HA 218,CEN 040,,,,,,,,,
HADS-456,Sensor hidden fault sensor U4,3,Mp2,HA 219,CEN 040,,,,,,,,,
HADS-457,Sensor hidden fault sensor D4,3,Mp2,HA 220,CEN 040,,,,,,,,,
HADS-460,Sensor hidden fault sensor U1,3,Tc2,HA 221,CEN 040,,,,,,,,,
HADS-461,Sensor hidden fault sensor D1,3,Tc2,HA 222,CEN 040,,,,,,,,,
HADS-462,Sensor hidden fault sensor U2,3,Tc2,HA 223,CEN 040,,,,,,,,,
HADS-463,Sensor hidden fault sensor D2,3,Tc2,HA 224,CEN 040,,,,,,,,,
HADS-464,Sensor hidden fault sensor U3,3,Tc2,HA 225,CEN 040,,,,,,,,,
HADS-465,Sensor hidden fault sensor D3,3,Tc2,HA 226,CEN 040,,,,,,,,,
HADS-466,Sensor hidden fault sensor U4,3,Tc2,HA 227,CEN 040,,,,,,,,,
HADS-467,Sensor hidden fault sensor D4,3,Tc2,HA 228,CEN 040,,,,,,,,,
HADS-470,Sensor critical alarm sensor U1,1,Tc1,HA 229,CEN 040,,,,,,,,,
HADS-471,Sensor critical alarm sensor D1,1,Tc1,HA 230,CEN 040,,,,,,,,,
HADS-472,Sensor critical alarm sensor U2,1,Tc1,HA 231,CEN 040,,,,,,,,,
HADS-473,Sensor critical alarm sensor D2,1,Tc1,HA 232,CEN 040,,,,,,,,,
HADS-474,Sensor critical alarm sensor U3,1,Tc1,HA 233,CEN 040,,,,,,,,,
HADS-475,Sensor critical alarm sensor D3,1,Tc1,HA 234,CEN 040,,,,,,,,,
HADS-476,Sensor critical alarm sensor U4,1,Tc1,HA 235,CEN 040,,,,,,,,,
HADS-477,Sensor critical alarm sensor D4,1,Tc1,HA 236,CEN 040,,,,,,,,,
HADS-480,Sensor critical alarm sensor U1,1,Mp1,HA 237,CEN 040,,,,,,,,,
HADS-481,Sensor critical alarm sensor D1,1,Mp1,HA 238,CEN 040,,,,,,,,,
HADS-482,Sensor critical alarm sensor U2,1,Mp1,HA 239,CEN 040,,,,,,,,,
HADS-483,Sensor critical alarm sensor D2,1,Mp1,HA 240,CEN 040,,,,,,,,,
HADS-484,Sensor critical alarm sensor U3,1,Mp1,HA 241,CEN 040,,,,,,,,,
HADS-485,Sensor critical alarm sensor D3,1,Mp1,HA 242,CEN 040,,,,,,,,,
HADS-486,Sensor critical alarm sensor U4,1,Mp1,HA 243,CEN 040,,,,,,,,,
HADS-487,Sensor critical alarm sensor D4,1,Mp1,HA 244,CEN 040,,,,,,,,,
HADS-490,Sensor critical alarm sensor U1,1,MW1,HA 245,CEN 040,,,,,,,,,
HADS-491,Sensor critical alarm sensor D1,1,MW1,HA 246,CEN 040,,,,,,,,,
HADS-492,Sensor critical alarm sensor U2,1,MW1,HA 247,CEN 040,,,,,,,,,
HADS-493,Sensor critical alarm sensor D2,1,MW1,HA 248,CEN 040,,,,,,,,,
HADS-494,Sensor critical alarm sensor U3,1,MW1,HA 249,CEN 040,,,,,,,,,
HADS-495,Sensor critical alarm sensor D3,1,MW1,HA 250,CEN 040,,,,,,,,,
HADS-496,Sensor critical alarm sensor U4,1,MW1,HA 251,CEN 040,,,,,,,,,
HADS-497,Sensor critical alarm sensor D4,1,MW1,HA 252,CEN 040,,,,,,,,,
HADS-500,Sensor critical alarm sensor U1,1,HMp,HA 253,CEN 040,,,,,,,,,
HADS-501,Sensor critical alarm sensor D1,1,HMp,HA 254,CEN 040,,,,,,,,,
HADS-502,Sensor critical alarm sensor U2,1,HMp,HA 255,CEN 040,,,,,,,,,
HADS-503,Sensor critical alarm sensor D2,1,HMp,HA 256,CEN 040,,,,,,,,,
HADS-504,Sensor critical alarm sensor U3,1,HMp,HA 257,CEN 040,,,,,,,,,
HADS-505,Sensor critical alarm sensor D3,1,HMp,HA 258,CEN 040,,,,,,,,,
HADS-506,Sensor critical alarm sensor U4,1,HMp,HA 259,CEN 040,,,,,,,,,
HADS-507,Sensor critical alarm sensor D4,1,HMp,HA 260,CEN 040,,,,,,,,,
HADS-510,Sensor critical alarm sensor U1,1,HT,HA 261,CEN 040,,,,,,,,,
HADS-511,Sensor critical alarm sensor D1,1,HT,HA 262,CEN 040,,,,,,,,,
HADS-512,Sensor critical alarm sensor U2,1,HT,HA 263,CEN 040,,,,,,,,,
HADS-513,Sensor critical alarm sensor D2,1,HT,HA 264,CEN 040,,,,,,,,,
HADS-514,Sensor critical alarm sensor U3,1,HT,HA 265,CEN 040,,,,,,,,,
HADS-515,Sensor critical alarm sensor D3,1,HT,HA 266,CEN 040,,,,,,,,,
HADS-516,Sensor critical alarm sensor U4,1,HT,HA 267,CEN 040,,,,,,,,,
HADS-517,Sensor critical alarm sensor D4,1,HT,HA 268,CEN 040,,,,,,,,,
HADS-520,Sensor critical alarm sensor U1,1,MW2,HA 269,CEN 040,,,,,,,,,
HADS-521,Sensor critical alarm sensor D1,1,MW2,HA 270,CEN 040,,,,,,,,,
HADS-522,Sensor critical alarm sensor U2,1,MW2,HA 271,CEN 040,,,,,,,,,
HADS-523,Sensor critical alarm sensor D2,1,MW2,HA 272,CEN 040,,,,,,,,,
HADS-524,Sensor critical alarm sensor U3,1,MW2,HA 273,CEN 040,,,,,,,,,
HADS-525,Sensor critical alarm sensor D3,1,MW2,HA 274,CEN 040,,,,,,,,,
HADS-526,Sensor critical alarm sensor U4,1,MW2,HA 275,CEN 040,,,,,,,,,
HADS-527,Sensor critical alarm sensor D4,1,MW2,HA 276,CEN 040,,,,,,,,,
HADS-530,Sensor critical alarm sensor U1,1,Mp2,HA 277,CEN 040,,,,,,,,,
HADS-531,Sensor critical alarm sensor D1,1,Mp2,HA 278,CEN 040,,,,,,,,,
HADS-532,Sensor critical alarm sensor U2,1,Mp2,HA 279,CEN 040,,,,,,,,,
HADS-533,Sensor critical alarm sensor D2,1,Mp2,HA 280,CEN 040,,,,,,,,,
HADS-534,Sensor critical alarm sensor U3,1,Mp2,HA 281,CEN 040,,,,,,,,,
HADS-535,Sensor critical alarm sensor D3,1,Mp2,HA 282,CEN 040,,,,,,,,,
HADS-536,Sensor critical alarm sensor U4,1,Mp2,HA 283,CEN 040,,,,,,,,,
HADS-537,Sensor critical alarm sensor D4,1,Mp2,HA 284,CEN 040,,,,,,,,,
HADS-540,Sensor critical alarm sensor U1,1,Tc2,HA 285,CEN 040,,,,,,,,,
HADS-541,Sensor critical alarm sensor D1,1,Tc2,HA 286,CEN 040,,,,,,,,,
HADS-542,Sensor critical alarm sensor U2,1,Tc2,HA 287,CEN 040,,,,,,,,,
HADS-543,Sensor critical alarm sensor D2,1,Tc2,HA 288,CEN 040,,,,,,,,,
HADS-544,Sensor critical alarm sensor U3,1,Tc2,HA 289,CEN 040,,,,,,,,,
HADS-545,Sensor critical alarm sensor D3,1,Tc2,HA 290,CEN 040,,,,,,,,,
HADS-546,Sensor critical alarm sensor U4,1,Tc2,HA 291,CEN 040,,,,,,,,,
HADS-547,Sensor critical alarm sensor D4,1,Tc2,HA 292,CEN 040,,,,,,,,,
HADS-550,Sensor warning alarm sensor U1,2,Tc1,HA 293,CEN 040,,,,,,,,,
HADS-551,Sensor warning alarm sensor D1,2,Tc1,HA 294,CEN 040,,,,,,,,,
HADS-552,Sensor warning alarm sensor U2,2,Tc1,HA 295,CEN 040,,,,,,,,,
HADS-553,Sensor warning alarm sensor D2,2,Tc1,HA 296,CEN 040,,,,,,,,,
HADS-554,Sensor warning alarm sensor U3,2,Tc1,HA 297,CEN 040,,,,,,,,,
HADS-555,Sensor warning alarm sensor D3,2,Tc1,HA 298,CEN 040,,,,,,,,,
HADS-556,Sensor warning alarm sensor U4,2,Tc1,HA 299,CEN 040,,,,,,,,,
HADS-557,Sensor warning alarm sensor D4,2,Tc1,HA 300,CEN 040,,,,,,,,,
HADS-560,Sensor warning alarm sensor U1,2,Mp1,HA 301,CEN 040,,,,,,,,,
HADS-561,Sensor warning alarm sensor D1,2,Mp1,HA 302,CEN 040,,,,,,,,,
HADS-562,Sensor warning alarm sensor U2,2,Mp1,HA 303,CEN 040,,,,,,,,,
HADS-563,Sensor warning alarm sensor D2,2,Mp1,HA 304,CEN 040,,,,,,,,,
HADS-564,Sensor warning alarm sensor U3,2,Mp1,HA 305,CEN 040,,,,,,,,,
HADS-565,Sensor warning alarm sensor D3,2,Mp1,HA 306,CEN 040,,,,,,,,,
HADS-566,Sensor warning alarm sensor U4,2,Mp1,HA 307,CEN 040,,,,,,,,,
HADS-567,Sensor warning alarm sensor D4,2,Mp1,HA 308,CEN 040,,,,,,,,,
HADS-570,Sensor warning alarm sensor U1,2,MW1,HA 309,CEN 040,,,,,,,,,
HADS-571,Sensor warning alarm sensor D1,2,MW1,HA 310,CEN 040,,,,,,,,,
HADS-572,Sensor warning alarm sensor U2,2,MW1,HA 311,CEN 040,,,,,,,,,
HADS-573,Sensor warning alarm sensor D2,2,MW1,HA 312,CEN 040,,,,,,,,,
HADS-574,Sensor warning alarm sensor U3,2,MW1,HA 313,CEN 040,,,,,,,,,
HADS-575,Sensor warning alarm sensor D3,2,MW1,HA 314,CEN 040,,,,,,,,,
HADS-576,Sensor warning alarm sensor U4,2,MW1,HA 315,CEN 040,,,,,,,,,
HADS-577,Sensor warning alarm sensor D4,2,MW1,HA 316,CEN 040,,,,,,,,,
HADS-580,Sensor warning alarm sensor U1,2,HMp,HA 317,CEN 040,,,,,,,,,
HADS-581,Sensor warning alarm sensor D1,2,HMp,HA 318,CEN 040,,,,,,,,,
HADS-582,Sensor warning alarm sensor U2,2,HMp,HA 319,CEN 040,,,,,,,,,
HADS-583,Sensor warning alarm sensor D2,2,HMp,HA 320,CEN 040,,,,,,,,,
HADS-584,Sensor warning alarm sensor U3,2,HMp,HA 321,CEN 040,,,,,,,,,
HADS-585,Sensor warning alarm sensor D3,2,HMp,HA 322,CEN 040,,,,,,,,,
HADS-586,Sensor warning alarm sensor U4,2,HMp,HA 323,CEN 040,,,,,,,,,
HADS-587,Sensor warning alarm sensor D4,2,HMp,HA 324,CEN 040,,,,,,,,,
HADS-590,Sensor warning alarm sensor U1,2,HT,HA 325,CEN 040,,,,,,,,,
HADS-591,Sensor warning alarm sensor D1,2,HT,HA 326,CEN 040,,,,,,,,,
HADS-592,Sensor warning alarm sensor U2,2,HT,HA 327,CEN 040,,,,,,,,,
HADS-593,Sensor warning alarm sensor D2,2,HT,HA 328,CEN 040,,,,,,,,,
HADS-594,Sensor warning alarm sensor U3,2,HT,HA 329,CEN 040,,,,,,,,,
HADS-595,Sensor warning alarm sensor D3,2,HT,HA 330,CEN 040,,,,,,,,,
HADS-596,Sensor warning alarm sensor U4,2,HT,HA 331,CEN 040,,,,,,,,,
HADS-597,Sensor warning alarm sensor D4,2,HT,HA 332,CEN 040,,,,,,,,,
HADS-600,Sensor warning alarm sensor U1,2,MW2,HA 333,CEN 040,,,,,,,,,
HADS-601,Sensor warning alarm sensor D1,2,MW2,HA 334,CEN 040,,,,,,,,,
HADS-602,Sensor warning alarm sensor U2,2,MW2,HA 335,CEN 040,,,,,,,,,
HADS-603,Sensor warning alarm sensor D2,2,MW2,HA 336,CEN 040,,,,,,,,,
HADS-604,Sensor warning alarm sensor U3,2,MW2,HA 337,CEN 040,,,,,,,,,
HADS-605,Sensor warning alarm sensor D3,2,MW2,HA 338,CEN 040,,,,,,,,,
HADS-606,Sensor warning alarm sensor U4,2,MW2,HA 339,CEN 040,,,,,,,,,
HADS-607,Sensor warning alarm sensor D4,2,MW2,HA 340,CEN 040,,,,,,,,,
HADS-610,Sensor warning alarm sensor U1,2,Mp2,HA 341,CEN 040,,,,,,,,,
HADS-611,Sensor warning alarm sensor D1,2,Mp2,HA 342,CEN 040,,,,,,,,,
HADS-612,Sensor warning alarm sensor U2,2,Mp2,HA 343,CEN 040,,,,,,,,,
HADS-613,Sensor warning alarm sensor D2,2,Mp2,HA 344,CEN 040,,,,,,,,,
HADS-614,Sensor warning alarm sensor U3,2,Mp2,HA 345,CEN 040,,,,,,,,,
HADS-615,Sensor warning alarm sensor D3,2,Mp2,HA 346,CEN 040,,,,,,,,,
HADS-616,Sensor warning alarm sensor U4,2,Mp2,HA 347,CEN 040,,,,,,,,,
HADS-617,Sensor warning alarm sensor D4,2,Mp2,HA 348,CEN 040,,,,,,,,,
HADS-620,Sensor warning alarm sensor U1,2,Tc2,HA 349,CEN 040,,,,,,,,,
HADS-621,Sensor warning alarm sensor D1,2,Tc2,HA 350,CEN 040,,,,,,,,,
HADS-622,Sensor warning alarm sensor U2,2,Tc2,HA 351,CEN 040,,,,,,,,,
HADS-623,Sensor warning alarm sensor D2,2,Tc2,HA 352,CEN 040,,,,,,,,,
HADS-624,Sensor warning alarm sensor U3,2,Tc2,HA 353,CEN 040,,,,,,,,,
HADS-625,Sensor warning alarm sensor D3,2,Tc2,HA 354,CEN 040,,,,,,,,,
HADS-626,Sensor warning alarm sensor U4,2,Tc2,HA 355,CEN 040,,,,,,,,,
HADS-627,Sensor warning alarm sensor D4,2,Tc2,HA 356,CEN 040,,,,,,,,,
HADS-630,Sensor attention alarm sensor U1,2,Tc1,HA 357,CEN 040,,,,,,,,,
HADS-631,Sensor attention alarm sensor D1,2,Tc1,HA 358,CEN 040,,,,,,,,,
HADS-632,Sensor attention alarm sensor U2,2,Tc1,HA 359,CEN 040,,,,,,,,,
HADS-633,Sensor attention alarm sensor D2,2,Tc1,HA 360,CEN 040,,,,,,,,,
HADS-634,Sensor attention alarm sensor U3,2,Tc1,HA 361,CEN 040,,,,,,,,,
HADS-635,Sensor attention alarm sensor D3,2,Tc1,HA 362,CEN 040,,,,,,,,,
HADS-636,Sensor attention alarm sensor U4,2,Tc1,HA 363,CEN 040,,,,,,,,,
HADS-637,Sensor attention alarm sensor D4,2,Tc1,HA 364,CEN 040,,,,,,,,,
HADS-640,Sensor attention alarm sensor U1,2,Mp1,HA 365,CEN 040,,,,,,,,,
HADS-641,Sensor attention alarm sensor D1,2,Mp1,HA 366,CEN 040,,,,,,,,,
HADS-642,Sensor attention alarm sensor U2,2,Mp1,HA 367,CEN 040,,,,,,,,,
HADS-643,Sensor attention alarm sensor D2,2,Mp1,HA 368,CEN 040,,,,,,,,,
HADS-644,Sensor attention alarm sensor U3,2,Mp1,HA 369,CEN 040,,,,,,,,,
HADS-645,Sensor attention alarm sensor D3,2,Mp1,HA 370,CEN 040,,,,,,,,,
HADS-646,Sensor attention alarm sensor U4,2,Mp1,HA 371,CEN 040,,,,,,,,,
HADS-647,Sensor attention alarm sensor D4,2,Mp1,HA 372,CEN 040,,,,,,,,,
HADS-650,Sensor attention alarm sensor U1,2,MW1,HA 373,CEN 040,,,,,,,,,
HADS-651,Sensor attention alarm sensor D1,2,MW1,HA 374,CEN 040,,,,,,,,,
HADS-652,Sensor attention alarm sensor U2,2,MW1,HA 375,CEN 040,,,,,,,,,
HADS-653,Sensor attention alarm sensor D2,2,MW1,HA 376,CEN 040,,,,,,,,,
HADS-654,Sensor attention alarm sensor U3,2,MW1,HA 377,CEN 040,,,,,,,,,
HADS-655,Sensor attention alarm sensor D3,2,MW1,HA 378,CEN 040,,,,,,,,,
HADS-656,Sensor attention alarm sensor U4,2,MW1,HA 379,CEN 040,,,,,,,,,
HADS-657,Sensor attention alarm sensor D4,2,MW1,HA 380,CEN 040,,,,,,,,,
HADS-660,Sensor attention alarm sensor U1,2,HMp,HA 381,CEN 040,,,,,,,,,
HADS-661,Sensor attention alarm sensor D1,2,HMp,HA 382,CEN 040,,,,,,,,,
HADS-662,Sensor attention alarm sensor U2,2,HMp,HA 383,CEN 040,,,,,,,,,
HADS-663,Sensor attention alarm sensor D2,2,HMp,HA 384,CEN 040,,,,,,,,,
HADS-664,Sensor attention alarm sensor U3,2,HMp,HA 385,CEN 040,,,,,,,,,
HADS-665,Sensor attention alarm sensor D3,2,HMp,HA 386,CEN 040,,,,,,,,,
HADS-666,Sensor attention alarm sensor U4,2,HMp,HA 387,CEN 040,,,,,,,,,
HADS-667,Sensor attention alarm sensor D4,2,HMp,HA 388,CEN 040,,,,,,,,,
HADS-670,Sensor attention alarm sensor U1,2,HT,HA 389,CEN 040,,,,,,,,,
HADS-671,Sensor attention alarm sensor D1,2,HT,HA 390,CEN 040,,,,,,,,,
HADS-672,Sensor attention alarm sensor U2,2,HT,HA 391,CEN 040,,,,,,,,,
HADS-673,Sensor attention alarm sensor D2,2,HT,HA 392,CEN 040,,,,,,,,,
HADS-674,Sensor attention alarm sensor U3,2,HT,HA 393,CEN 040,,,,,,,,,
HADS-675,Sensor attention alarm sensor D3,2,HT,HA 394,CEN 040,,,,,,,,,
HADS-676,Sensor attention alarm sensor U4,2,HT,HA 395,CEN 040,,,,,,,,,
HADS-677,Sensor attention alarm sensor D4,2,HT,HA 396,CEN 040,,,,,,,,,
HADS-680,Sensor attention alarm sensor U1,2,MW2,HA 397,CEN 040,,,,,,,,,
HADS-681,Sensor attention alarm sensor D1,2,MW2,HA 398,CEN 040,,,,,,,,,
HADS-682,Sensor attention alarm sensor U2,2,MW2,HA 399,CEN 040,,,,,,,,,
HADS-683,Sensor attention alarm sensor D2,2,MW2,HA 400,CEN 040,,,,,,,,,
HADS-684,Sensor attention alarm sensor U3,2,MW2,HA 401,CEN 040,,,,,,,,,
HADS-685,Sensor attention alarm sensor D3,2,MW2,HA 402,CEN 040,,,,,,,,,
HADS-686,Sensor attention alarm sensor U4,2,MW2,HA 403,CEN 040,,,,,,,,,
HADS-687,Sensor attention alarm sensor D4,2,MW2,HA 404,CEN 040,,,,,,,,,
HADS-690,Sensor attention alarm sensor U1,2,Mp2,HA 405,CEN 040,,,,,,,,,
